Country,Birth Rate,Business Tax Rate,log10_CO2 Emissions,Days to Start Business,Ease of Business,log10_Energy Usage,log10_GDP,Health Exp % GDP,log10_Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,log10_Population Total,Population Urban,log10_Tourism Inbound,log10_Tourism Outbound,ISO Code,cluster_label
Brazil,0.01678666666666667,44.924792365571115,5.557749444863707,15.97097089462058,101.41916549292371,5.36888104982148,12.131922995697263,0.08412,2.774783144505159,251.41248789908647,0.017786666666666666,0.324,0.4773200000000001,76.21333333333334,68.85333333333332,0.7706666666666667,8.2800904813572,0.8357866666666668,9.690813071962372,10.030863835582691,BRA,3
Brunei Darussalam,0.018173333333333333,28.42063804209453,3.8035663994061135,38.14420043107715,96.46963910456726,3.4558189375570927,10.057712439902298,0.025453333333333335,2.8773326110270707,135.32847844520646,0.00784,0.44133333333333336,0.055,79.46666666666667,75.72,0.884,5.584208489780399,0.7450533333333332,8.430815946950872,8.568092867322532,BRN,2
Bulgaria,0.00982666666666667,34.601430213943864,4.662791785272132,28.639807307008088,114.69347400356332,4.269220879953819,10.5788881549137,0.07242666666666665,2.55639740908289,341.15978868206463,0.012679999999999999,0.35866666666666674,0.10045333333333334,76.70666666666666,69.77333333333333,1.1306666666666665,6.877993415068314,0.7147333333333333,9.544925518868222,9.228947782551371,BGR,3
Burkina Faso,0.04354666666666666,43.70960935069995,3.070853943107795,23.418015987976567,161.4176553919178,3.4739907346485817,9.84731804228523,0.06844,1.4930269122835964,269.19723340386753,0.07768,0.0,0.1931413244531358,54.533333333333324,53.13333333333333,0.24266666666666667,7.160886568711835,0.23707999999999999,7.821893264749059,7.846333267629189,BFA,1
Burundi,0.044306666666666654,42.078097032220576,2.430417392616389,13.369991756088975,155.31888485053935,3.147979478667309,9.180302450857747,0.08723999999999998,1.1577565875096671,213.8728716305663,0.06818666666666666,0.0,0.15703999999999999,53.02666666666666,49.973333333333336,0.08933333333333335,6.929519221684866,0.10044,6.300475624900404,7.712469511085536,BDI,1
Cambodia,0.026093333333333333,24.59614998195799,3.626027950965499,44.820143940893075,133.37679018050403,3.61317680872439,9.939201549321531,0.05895999999999999,1.5649206862835123,171.60825659366793,0.04566666666666667,0.0,0.20599600075159105,71.58666666666666,66.09333333333333,0.44,7.14200507945033,0.19516,9.047747841929587,8.246164917808631,KHM,1
Cameroon,0.039413333333333335,49.15578205895425,3.5603189033962983,32.57457839416708,161.09187053712918,3.810442388438464,10.296792629496057,0.04994666666666667,1.7018856727645233,291.3577506994807,0.07228,0.024000000000000004,0.1717777282165678,54.01333333333333,52.10666666666667,0.3,7.287539321170842,0.5006,8.388501098266074,8.644338662485628,CMR,1
Canada,0.011,38.34368082612592,5.5776613146444545,4.474188577052496,51.87623721486485,5.413282278727179,12.133065927690247,0.10452,3.62254861536303,131.504357213034,0.005000000000000001,0.74,0.040146666666666664,82.86666666666666,78.32,0.644,7.520704759938316,0.8057066666666667,10.230194086722342,10.46194981756286,CAN,0
Cayman Islands,0.014992142305089539,41.587015160774406,2.745372071534149,22.756568493564682,81.98592141741462,2.384337116921725,9.485513701854195,0.07205447560496792,3.083430097591601,142.8989228781466,0.011621134808672455,0.5993025426522519,0.09397142184940917,78.79108532625746,73.50354342044547,1.569333333333333,4.715772433541223,1.0,8.68283817362914,8.112381905793036,CYM,2
Central African Republic,0.03606666666666667,38.808358481280735,2.492624166109885,22.20290120537767,157.63133888908268,3.5415853429319823,9.226460629726748,0.04038666666666667,1.214016044115313,496.4052098415265,0.10602666666666666,0.0,0.17808222124645737,48.43999999999999,45.093333333333334,0.12133333333333335,6.619323779070475,0.3849733333333333,6.961119301312786,7.672362311386734,CAF,1
Chad,0.04834666666666667,40.43297781830298,2.756898727757268,61.404634556922375,157.9049655899291,3.943408102686362,9.880014562313255,0.04216,1.3840264461808,318.54175434302596,0.09704,0.0,0.1923543348186328,49.733333333333334,48.080000000000005,0.14533333333333334,7.035190843348222,0.21896000000000002,7.723252646429229,7.931195575867983,TCD,1
Chile,0.014693333333333333,25.577534938040877,4.795203327468717,21.811816747081103,118.60628715011245,4.474726378314172,11.212324033436904,0.06962666666666667,2.8288149089352226,311.0979006346243,0.0078000000000000005,0.4026666666666667,0.08309333333333332,81.6,75.72,0.9226666666666666,7.223937030450579,0.88024,9.329656315033175,9.213311256755544,CHL,0
China,0.012093333333333334,48.097017283082295,6.769501091292841,39.5392003676801,136.63100526539446,6.280070113947841,12.58669865907567,0.048666666666666664,2.144969945988332,362.4258723385659,0.017226666666666668,0.22533333333333336,0.05930666666666666,75.76,73.17333333333333,0.4826666666666667,9.120828540044236,0.4599466666666666,10.589359441159809,10.610288600793098,CHN,3
Colombia,0.020453333333333334,49.639738074985935,4.9217989259135475,29.94148039272003,116.84274196866596,4.509455973679839,11.318168156759999,0.06365333333333334,2.4693270790534623,281.7811339706547,0.01704,0.26533333333333337,0.1376,76.68,69.24,0.7240000000000001,7.651505473384881,0.7433466666666667,9.341736005086874,9.327230193106265,COL,3
Comoros,0.037866666666666667,42.14078337762747,2.2494804972331996,23.521843963821645,163.57629478990393,1.9029410041744201,8.66251909837502,0.04110666666666666,1.464376390061595,116.75322841662164,0.06605333333333333,0.03466666666666667,0.10762666666666668,61.053333333333335,58.24,0.15583688360994583,5.80759158116253,0.2793333333333334,7.5387184570704875,7.235688062506369,COM,1
Congo,0.03876,40.86052572209864,3.236113427290733,31.580707314394765,159.4899166748836,3.145063782959444,9.92695315311592,0.024919999999999998,1.7354015043707631,261.4264471614599,0.05152,0.03466666666666667,0.19295960959896685,57.13333333333334,54.413333333333334,0.5293333333333333,6.5834048609042695,0.62144,7.722230903093171,8.00623457206153,COG,1
